#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	48	0	0	0	0	0	0	48
1	5	22	12	7	0	0	0	48
2	7	18	7	12	0	0	0	48
3	1	19	8	14	0	0	0	48
4	0	18	4	14	0	0	0	48
5	3	15	1	11	0	0	0	48
6	0	16	2	10	0	0	0	48
7	2	13	1	10	0	0	0	48
8	2	10	0	10	0	0	0	48
9	1	11	0	10	0	0	0	48
10	0	11	1	10	0	0	0	48
11	0	11	0	9	0	0	0	48
12	2	8	1	9	0	0	0	48
13	1	8	1	8	0	0	0	48
14	1	8	0	7	0	0	0	48
15	1	8	0	7	0	0	0	48
16	0	9	0	7	0	0	0	48
17	0	8	1	7	0	0	0	48
18	0	8	0	6	0	0	0	48
19	2	6	0	6	0	0	0	48
20	0	7	1	6	0	0	0	48
21	0	7	0	7	0	0	0	48
22	1	6	0	7	0	0	0	48
23	3	4	0	7	0	0	0	48
24	1	6	0	7	0	0	0	48
25	1	5	0	6	0	0	0	48
26	1	5	0	6	0	0	0	48
27	1	5	0	6	0	0	0	48
28	0	5	1	6	0	0	0	48
29	0	5	0	5	0	0	0	48
30	0	5	0	5	0	0	0	48
31	1	3	0	4	0	0	0	48
32	0	3	0	3	0	0	0	48
33	0	2	1	3	0	0	0	48
34	0	1	1	2	0	0	0	48
35	0	1	1	2	0	0	0	48
36	1	0	0	1	0	0	0	48
37	1	0	0	1	0	0	0	48
38	0	1	0	1	0	0	0	48
39	0	1	0	1	0	0	0	48
40	0	1	0	1	0	0	0	48
41	0	1	0	1	0	0	0	48
42	0	1	0	1	0	0	0	48
43	0	1	0	1	0	0	0	48
44	0	1	0	1	0	0	0	48
45	0	1	0	1	0	0	0	48
46	0	1	0	1	0	0	0	48
47	0	1	0	1	0	0	0	48
48	0	1	0	1	0	0	0	48
49	0	1	0	1	0	0	0	48
50	0	0	1	1	0	0	0	48
51	0	0	1	1	0	0	0	48
52	0	0	0	2	0	0	0	48
53	0	0	0	2	0	0	0	48
54	0	0	0	2	0	0	0	48
