SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, Name;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 2212;
Mean particle energy, 2.000000 MeV;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 0,DNA Density, 0;
Cell Cycle Phase, 0;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 11.75;
Time, 0.000000;
Damage and primary count, ;
Data entries, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;

2, 0; -0.000549904, 0.000296881, -0.115581; 0, 3, 1; 
0, 0; -0.000180786, -3.56035e-06, 0.0407155; 0, 3, 1; 
0, 0; -0.00016341, 0.000240923, 0.1462; 1, 2, 1; 
0, 0; 0.000288835, 0.000221834, -0.033365; 0, 2, 1; 
0, 0; -0.000521275, 0.000350588, 0.0661876; 0, 2, 1; 
0, 0; -0.00043921, 0.000425923, 0.140963; 0, 2, 1; 
0, 0; -0.000767657, 0.000477622, -0.00950819; 0, 2, 0; 
0, 0; -8.53411e-05, -5.14857e-05, 0.0763842; 0, 2, 0; 
0, 0; -0.00050559, 0.000345831, 0.16902; 0, 2, 0; 
0, 0; -0.000492667, 0.000219519, 0.0345064; 1, 1, 0; 
0, 0; -0.000554811, 0.000360758, -0.15368; 0, 1, 0; 
0, 0; -0.000552996, 0.000360208, -0.14178; 0, 1, 0; 
0, 0; -0.000550708, 0.000359514, -0.126779; 0, 1, 0; 
0, 0; -0.000546773, 0.000358321, -0.10098; 0, 1, 0; 
0, 0; -0.000565594, 0.000312328, -0.0913495; 0, 1, 0; 
0, 0; -0.000364497, 0.00104161, -0.0825322; 0, 1, 0; 
0, 0; -0.000587207, 0.000502652, -0.0500843; 0, 1, 0; 
0, 0; -0.000537749, 0.000355584, -0.04182; 0, 1, 0; 
0, 0; -0.000536697, 0.000355265, -0.0349231; 0, 2, 0.5; 
0, 0; -0.000534897, 0.000354719, -0.02312; 0, 1, 0; 
0, 0; -0.000657302, 0.000624401, -0.0194851; 0, 1, 0; 
0, 0; -0.000621173, 0.000780043, 0.0535637; 0, 1, 0; 
0, 0; -0.000516736, 0.000349211, 0.0959509; 0, 1, 0; 
0, 0; -0.000720099, 0.000846977, 0.107952; 0, 1, 0; 
0, 0; -0.000513324, 0.000348177, 0.11832; 0, 1, 0; 
0, 0; -0.000273544, 0.000604358, 0.157409; 0, 1, 0; 
0, 0; -4.68693e-05, 0.000223645, -0.0289508; 2, 0, 0; 
0, 0; 0.000137585, 0.000298614, 0.0469307; 1, 0, 0; 
